"","subjID","exptPart","trialNumber","roleCurrent","marblesSampled","probabilityRed","drawnRed","reportedDrawn","compLie","compUnifLie","compDetect","callBS","playerTrialScore","oppTrialScore","playerTotalScore","oppTotalScore","waitTime","responseTime","catchQuestion","catchKey","catchResponse","catchResponseTime","pseudoRound","trialTime","lie","player.bullshitter","player.bullshitDetector","expt"
"1","subj174","trial",1,"bullshitter",10,0.2,3,7,-1,"False",0.506291456,"False",7,3,7,3,2970.9807839081,3146,"How many red marbles did you actually draw?",-1,-1,-1,"False",11137,TRUE,"human","computer","expt4"
"2","subj174","trial",2,"bullshitDetector",10,0.2,3,4,4,"False",-1,"False",6,4,13,7,7399.6458152961,1462,"How many red marbles did you actually draw?",-1,-1,-1,"False",10467,TRUE,"computer","human","expt4"
"3","subj174","trial",3,"bullshitter",10,0.2,5,7,-1,"False",0.506291456,"False",7,3,20,10,2590.33836116,4126,"How many red marbles did you actually draw?",-1,-1,-1,"True",11276,TRUE,"human","computer","expt4"
"4","subj174","trial",4,"bullshitDetector",10,0.2,3,9,-1,"True",0.506291456,"True",5,-5,25,5,5544.1471820263,1552,"How many red marbles did your opponent report drawing?",9,9,5147,"False",14107,TRUE,"computer","human","expt4"
"5","subj174","trial",5,"bullshitter",10,0.2,2,2,-1,"False",0.1841689088,"False",2,8,27,13,2711.4616523214,2365,"How many red marbles did your opponent report drawing?",-1,-1,-1,"False",34661,FALSE,"human","computer","expt4"
"6","subj174","trial",6,"bullshitDetector",10,0.2,1,4,4,"False",-1,"False",6,4,33,17,5255.5157362941,1833,"How many red marbles did your opponent report drawing?",-1,-1,-1,"False",9130,TRUE,"computer","human","expt4"
"7","subj174","trial",7,"bullshitter",10,0.2,9,9,-1,"False",0.50636928,"True",9,-4,42,13,2918.7517697277,3114,"How many red marbles did your opponent report drawing?",-1,-1,-1,"True",13428,FALSE,"human","computer","expt4"
"8","subj174","trial",8,"bullshitDetector",10,0.2,4,4,1,"False",-1,"False",6,4,48,17,5416.1699285734,2133,"How many red marbles did your opponent report drawing?",-1,-1,-1,"False",10626,FALSE,"computer","human","expt4"
"9","subj174","trial",9,"bullshitter",10,0.2,1,1,-1,"False",-0.1178209792,"False",1,9,49,26,2984.7924463003,2782,"How many red marbles did your opponent report drawing?",-1,-1,-1,"False",11758,FALSE,"human","computer","expt4"
"10","subj174","trial",10,"bullshitDetector",10,0.2,2,2,1,"False",-1,"False",8,2,57,28,7038.8825707241,1727,"How many red marbles did your opponent report drawing?",-1,-1,-1,"False",10660,FALSE,"computer","human","expt4"
"11","subj174","trial",11,"bullshitter",10,0.2,2,3,-1,"False",0.3854955008,"False",3,7,60,35,3072.7098007787,2962,"How many red marbles did your opponent report drawing?",-1,-1,-1,"False",13021,TRUE,"human","computer","expt4"
"12","subj174","trial",12,"bullshitDetector",10,0.2,1,3,3,"False",-1,"False",7,3,67,38,7427.1543542478,1352,"How many red marbles did your opponent report drawing?",-1,-1,-1,"False",10538,TRUE,"computer","human","expt4"
