role,p,mor,ks,n,val
Liar,0.2,-10,0,50,2.390988516527027
Liar,0.2,-10,1,50,2.5556597387339313
Liar,0.2,-10,2,50,2.5794876487582563
Liar,0.2,-10,3,50,2.548025729516982
Liar,0.2,-10,4,50,2.5065222998255736
Liar,0.2,-10,5,50,2.4735082213545563
Liar,0.2,-10,6,50,2.453669845563006
Liar,0.2,-10,7,50,2.4458174263363497
Liar,0.2,-10,8,50,2.4469268595335527
Liar,0.2,-10,9,50,2.453903570384092
Liar,0.2,-10,10,50,2.464211116609336
Liar,0.2,-9,0,50,2.199565144476274
Liar,0.2,-9,1,50,2.472756614572971
Liar,0.2,-9,2,50,2.559764371309818
Liar,0.2,-9,3,50,2.5575969044323195
Liar,0.2,-9,4,50,2.5259030073434783
Liar,0.2,-9,5,50,2.4934364549782284
Liar,0.2,-9,6,50,2.4706048644281244
Liar,0.2,-9,7,50,2.4589624875397305
Liar,0.2,-9,8,50,2.4566108827487447
Liar,0.2,-9,9,50,2.4608021528692734
Liar,0.2,-9,10,50,2.4690123803495028
Liar,0.2,-8,0,50,1.9945285628853213
Liar,0.2,-8,1,50,2.3784339895372426
Liar,0.2,-8,2,50,2.536325485912992
Liar,0.2,-8,3,50,2.569307854067473
Liar,0.2,-8,4,50,2.550062827098748
Liar,0.2,-8,5,50,2.5185684426521457
Liar,0.2,-8,6,50,2.492114130671456
Liar,0.2,-8,7,50,2.4757302182195846
Liar,0.2,-8,8,50,2.4689959971200244
Liar,0.2,-8,9,50,2.469638815720063
Liar,0.2,-8,10,50,2.4751683610248856
Liar,0.2,-7,0,50,1.7813176125032621
Liar,0.2,-7,1,50,2.2736915276694702
Liar,0.2,-7,2,50,2.5089608484161734
Liar,0.2,-7,3,50,2.583465736707861
Liar,0.2,-7,4,50,2.579947307541907
Liar,0.2,-7,5,50,2.550108938214081
Liar,0.2,-7,6,50,2.5193511229376044
Liar,0.2,-7,7,50,2.497079687433243
Liar,0.2,-7,8,50,2.484817878902517
Liar,0.2,-7,9,50,2.4809503552333254
Liar,0.2,-7,10,50,2.4830580545030285
Liar,0.2,-6,0,50,1.5663244737044089
Liar,0.2,-6,1,50,2.16046635824283
Liar,0.2,-6,2,50,2.477666922289754
Liar,0.2,-6,3,50,2.6003351854939933
Liar,0.2,-6,4,50,2.616559902008636
Liar,0.2,-6,5,50,2.5894508823395017
Liar,0.2,-6,6,50,2.5537100134238964
Liar,0.2,-6,7,50,2.524199266958442
Liar,0.2,-6,8,50,2.5050013275849503
Liar,0.2,-6,9,50,2.49541732498278
Liar,0.2,-6,10,50,2.4931643936724353
Liar,0.2,-5,0,50,1.3561564448799486
Liar,0.2,-5,1,50,2.041576818611907
Liar,0.2,-5,2,50,2.4427148158652803
Liar,0.2,-5,3,50,2.6200913642412935
Liar,0.2,-5,4,50,2.660891702212102
Liar,0.2,-5,5,50,2.6381515254556533
Liar,0.2,-5,6,50,2.5968454511532104
Liar,0.2,-5,7,50,2.5585461604708652
Liar,0.2,-5,8,50,2.5307017784128614
Liar,0.2,-5,9,50,2.5138993939373315
Liar,0.2,-5,10,50,2.5061014093740352
Liar,0.2,-4,0,50,1.156844422953087
Liar,0.2,-4,1,50,1.9204882956600582
Liar,0.2,-4,2,50,2.404691827982346
Liar,0.2,-4,3,50,2.6427656621711417
Liar,0.2,-4,4,50,2.713813264318929
Liar,0.2,-4,5,50,2.6978718054758963
Liar,0.2,-4,6,50,2.65067409279416
Liar,0.2,-4,7,50,2.6018829884920334
Liar,0.2,-4,8,50,2.5633513911269583
Liar,0.2,-4,9,50,2.5374773874756538
Liar,0.2,-4,10,50,2.52264762455709
Liar,0.2,-3,0,50,0.9731922878194814
Liar,0.2,-3,1,50,1.8009299659427616
Liar,0.2,-3,2,50,2.364495367029078
Liar,0.2,-3,3,50,2.6681937044823183
Liar,0.2,-3,4,50,2.7759283942737865
Liar,0.2,-3,5,50,2.770264827850118
Liar,0.2,-3,6,50,2.71734413422013
Liar,0.2,-3,7,50,2.6563038021741394
Liar,0.2,-3,8,50,2.6047070628847813
Liar,0.2,-3,9,50,2.5675019334236695
Liar,0.2,-3,10,50,2.543786545234184
Liar,0.2,-2,0,50,0.8084050220201934
Liar,0.2,-2,1,50,1.6864466999680865
Liar,0.2,-2,2,50,2.323266811161624
Liar,0.2,-2,3,50,2.6959802845016823
Liar,0.2,-2,4,50,2.8474018701043424
Liar,0.2,-2,5,50,2.856802080702062
Liar,0.2,-2,6,50,2.7991551087527196
Liar,0.2,-2,7,50,2.7242375293730547
Liar,0.2,-2,8,50,2.6568951207553337
Liar,0.2,-2,9,50,2.6056475434097743
Liar,0.2,-2,10,50,2.5707548267341207
Liar,0.2,-1,0,50,0.6640315709746208
Liar,0.2,-1,1,50,1.579996504241683
Liar,0.2,-1,2,50,2.282270463522138
Liar,0.2,-1,3,50,2.72549719400739
Liar,0.2,-1,4,50,2.9277899357997605
Liar,0.2,-1,5,50,2.958535863896667
Liar,0.2,-1,6,50,2.898408294837958
Liar,0.2,-1,7,50,2.808411584894314
Liar,0.2,-1,8,50,2.722443598362811
Liar,0.2,-1,9,50,2.6539690764585537
Liar,0.2,-1,10,50,2.6050980443033627
Liar,0.2,0,0,50,0.540164006753463
Liar,0.2,0,1,50,1.4836854222932268
Liar,0.2,0,2,50,2.2427425744509732
Liar,0.2,0,3,50,2.7559247144018406
Liar,0.2,0,4,50,3.0159188094451412
Liar,0.2,0,5,50,3.075815662560464
Liar,0.2,0,6,50,3.017171453231124
Liar,0.2,0,7,50,2.9117532376458306
Liar,0.2,0,8,50,2.8042877445247267
Liar,0.2,0,9,50,2.7149545188555595
Liar,0.2,0,10,50,2.6487327571173354
Liar,0.2,1,0,50,0.43578468831147027
Liar,0.2,1,1,50,1.3986796246456528
Liar,0.2,1,2,50,2.205747321849608
Liar,0.2,1,3,50,2.7863353851229284
Liar,0.2,1,4,50,3.109862781917777
Liar,0.2,1,5,50,3.2080037088727833
Liar,0.2,1,6,50,3.1569545124390452
Liar,0.2,1,7,50,3.03720366490013
Liar,0.2,1,8,50,2.90572803544773
Liar,0.2,1,9,50,2.791563529976002
Liar,0.2,1,10,50,2.7040114121876573
Liar,0.2,2,0,50,0.3491527706678169
Liar,0.2,2,1,50,1.3252768709867506
Liar,0.2,2,2,50,2.1720738082589346
Liar,0.2,2,3,50,2.815803782684122
Liar,0.2,2,4,50,3.207059621533266
Liar,0.2,2,5,50,3.3532628316745283
Liar,0.2,2,6,50,3.318318657409172
Liar,0.2,2,7,50,3.1874234831862687
Liar,0.2,2,8,50,3.030313677010084
Liar,0.2,2,9,50,2.887235066173928
Liar,0.2,2,10,50,2.773783202103833
Liar,0.2,3,0,50,0.27815216856465663
Liar,0.2,3,1,50,1.2630821742272735
